Title,Location,Time of work,Type of agreement,Salary,Article url
Na Zmywak zatrudnimy.,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 2 500 zł do 3 000 zł /mies. brutto,https://www.olx.pl/oferta/na-zmywak-zatrudnimy-CID4-IDBKzNw.html#894c58ffe1
Zmywak / sprzątanie,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 16 zł do 17 zł /godz. brutto,https://www.olx.pl/oferta/zmywak-sprzatanie-CID4-IDmpaBE.html#894c58ffe1
Zatrudnimy kucharza,Kraków", Grzegórzki,Pełny etat,Umowa o pracę,od 4 000 zł do 4 400 zł /mies. brutto,https://www.olx.pl/oferta/zatrudnimy-kucharza-CID4-IDCTXwk.html#894c58ffe1
Kawiarnia w Rynku Głównym zatrudni osobę do pracy na barze,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kawiarnia-w-rynku-glownym-zatrudni-osobe-do-pracy-na-barze-CID4-IDjQkeZ.html#894c58ffe1
Zatrudnię kucharza /kucharkę,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 4 450 zł do 4 840 zł /mies. brutto,https://www.olx.pl/oferta/zatrudnie-kucharza-kucharke-CID4-IDBhOvO.html#894c58ffe1
Szklankowa zbieranie i zmywanie naczyń,Kraków", Krowodrza,Pełny etat,Umowa o pracę,od 12 zł do 13 zł /godz. brutto,https://www.olx.pl/oferta/szklankowa-zbieranie-i-zmywanie-naczyn-CID4-IDBHWrD.html#894c58ffe1
Restauracja Avangarda zatrudni kucharza i pomoc kuchenną,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 3 000 zł do 7 000 zł /mies. brutto,https://www.olx.pl/oferta/restauracja-avangarda-zatrudni-kucharza-i-pomoc-kuchenna-CID4-IDClR3x.html#894c58ffe1
Restauracja zatrudni barmana/barmankę,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 2 500 zł do 4 000 zł /mies. brutto,https://www.olx.pl/oferta/restauracja-zatrudni-barmana-barmanke-CID4-IDCRMbO.html#894c58ffe1
Osoba do zmywania naczyń,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,2 500 zł /mies. brutto,https://www.olx.pl/oferta/osoba-do-zmywania-naczyn-CID4-IDCTFph.html#894c58ffe1
Kucharz,Kraków", Dębniki,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-CID4-IDCTCt1.html#894c58ffe1
Restauracja samoobsługowa zatrudni Kucharza,Kraków", Czyżyny,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-samoobslugowa-zatrudni-kucharza-CID4-IDCTCrM.html#894c58ffe1
Restauracja samoobsługowa zatrudni na stanowisko kasjer/sprzedawca,Kraków", Czyżyny,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-samoobslugowa-zatrudni-na-stanowisko-kasjer-sprzedawca-CID4-IDCTCmn.html#894c58ffe1
Restauracja samoobsługowa zatrudni Pomoc Kuchenną,Kraków", Podgórze,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-samoobslugowa-zatrudni-pomoc-kuchenna-CID4-IDCTCdK.html#894c58ffe1
Praca dla Kucharza", ul. Śniadeckich- sprawdź,Kraków", Czyżyny,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-dla-kucharza-ul-sniadeckich-sprawdz-CID4-IDCTBRk.html#894c58ffe1
Pizzeria Biesiadowo. Poszukujemy Pizzermana,Kraków", Bieżanów-Prokocim,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pizzeria-biesiadowo-poszukujemy-pizzermana-CID4-IDCsOaP.html#894c58ffe1
Kucharz i pizzer,Kraków", Swoszowice,Pełny etat,Umowa o pracę,od 20 zł do 24 zł /godz. brutto,https://www.olx.pl/oferta/kucharz-i-pizzer-CID4-IDCTuja.html#894c58ffe1
Restauracja Folga - Powiększamy Team :),Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 4 500 zł do 7 000 zł /mies. brutto,https://www.olx.pl/oferta/restauracja-folga-powiekszamy-team-CID4-IDCTmVD.html#894c58ffe1
Kelner/ka poszukujemy,Kraków", Krowodrza,Pełny etat,Umowa o pracę,od 3 300 zł do 3 500 zł /mies. brutto,https://www.olx.pl/oferta/kelner-ka-poszukujemy-CID4-IDCTitV.html#894c58ffe1
,Kraków", Prądnik Biały,Pełny etat,Umowa o pracę,,
Restauracja Vanillasky w Hotelu Niebieski zatrudni kelnera/kę,Kraków", Zwierzyniec,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-vanillasky-w-hotelu-niebieski-zatrudni-kelnera-ke-CID4-IDBaDox.html#894c58ffe1
zatrudnimy pomoc kuchenna/zmywającą,Kraków", Podgórze Duchackie,Pełny etat,Umowa o pracę,14 zł /godz. brutto,https://www.olx.pl/oferta/zatrudnimy-pomoc-kuchenna-zmywajaca-CID4-IDCSg3X.html#894c58ffe1
McDonald's Galeria Krakowska poziom +1 zatrudni pracowników zm. nocna,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 17 zł do 20 zł /godz. brutto,https://www.olx.pl/oferta/mcdonalds-galeria-krakowska-poziom-1-zatrudni-pracownikow-zm-nocna-CID4-IDkNKRO.html#894c58ffe1
Kelner do restauracji o ustalonej renomie w centrum Krakowa,Kraków", Stare Miasto,Niepełny etat,Umowa o pracę,od 5 000 zł do 6 000 zł /mies. brutto,https://www.olx.pl/oferta/kelner-do-restauracji-o-ustalonej-renomie-w-centrum-krakowa-CID4-IDCRWsB.html#894c58ffe1
Kucharz do restauracji hotelowej,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-do-restauracji-hotelowej-CID4-IDCMc6P.html#894c58ffe1
,Kraków", Podgórze Duchackie,Pełny etat,Umowa o pracę,14 zł /mies. brutto,
Kucharz", kucharka,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-kucharka-CID4-IDBKMUw.html#894c58ffe1
Kierownik Zmiany/Kucharz,Kraków", Dębniki,Pełny etat,Umowa o pracę,od 20 zł do 22 zł /godz. brutto,https://www.olx.pl/oferta/kierownik-zmiany-kucharz-CID4-IDzTlXk.html#894c58ffe1
Szef Kuchni - Kraków - Rynek Główny,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/szef-kuchni-krakow-rynek-glowny-CID4-IDCRyvA.html#894c58ffe1
,Kraków", Łagiewniki-Borek Fałęcki,Pełny etat,Umowa o pracę,od 3 000 zł do 4 500 zł /mies. brutto,
,Kraków", Grzegórzki,Pełny etat,Umowa o pracę,od 3 000 zł do 4 000 zł /mies. brutto,
Managera do dużej restauracji,Kraków", Bieżanów-Prokocim,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/managera-do-duzej-restauracji-CID4-IDCYUQs.html#7a30b0d009;promoted
,Kraków", Bieżanów-Prokocim,Pełny etat,Umowa o pracę,,
Kucharz/pomoc kuchenna - catering dietetyczny wegański,Kraków", Bronowice,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-pomoc-kuchenna-catering-dietetyczny-weganski-CID4-IDCLi80.html#7a30b0d009;promoted
kucharz,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,3 500 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-CID4-IDCRj6j.html#7a30b0d009
Praca na Ruczaju,Kraków", Dębniki,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-na-ruczaju-CID4-IDCRgCH.html#7a30b0d009
Kucharz praca w restauracji polskiej,Kraków", Podgórze,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-praca-w-restauracji-polskiej-CID4-IDCRbDU.html#7a30b0d009
Zatrudnię kucharza lub pomoc kuchenną,Kraków", Podgórze,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-kucharza-lub-pomoc-kuchenna-CID4-IDCQ8Tv.html#7a30b0d009
Praca od zaraz,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-od-zaraz-CID4-IDCQTIH.html#7a30b0d009
Zatrudnimy kucharzy.,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnimy-kucharzy-CID4-IDBqvKa.html#7a30b0d009
Restauracja w Rynku Głównym zatrudni kelnera/kelnerkę,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-w-rynku-glownym-zatrudni-kelnera-kelnerke-CID4-IDrHxvW.html#7a30b0d009
Steak Burger Grodzka 6 zatrudni barmana,Kraków", Krowodrza,Pełny etat,Umowa o pracę,od 19 zł do 20 zł /godz. brutto,https://www.olx.pl/oferta/steak-burger-grodzka-6-zatrudni-barmana-CID4-IDCQiH6.html#7a30b0d009
Kucharz,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-CID4-IDCfnlh.html#7a30b0d009
Pomoc kuchenna,Kraków", Prądnik Czerwony,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kuchenna-CID4-IDAtrTn.html#7a30b0d009
Promotorów zatrudnię.,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/promotorow-zatrudnie-CID4-IDzvZIJ.html#7a30b0d009
Kucharz,Kraków", Dębniki,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-CID4-IDC3wV3.html#7a30b0d009
Kucharzy", Grilowych- SIOUX Rynek,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 3 000 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/kucharzy-grilowych-sioux-rynek-CID4-IDtzuWJ.html#7a30b0d009
Pomoc kuchenna/zmywak,Kraków", Prądnik Czerwony,Pełny etat,Umowa o pracę,od 2 500 zł do 3 000 zł /mies. brutto,https://www.olx.pl/oferta/pomoc-kuchenna-zmywak-CID4-IDz3v8o.html#7a30b0d009
Restauracja przyjmie do pracy,Kraków", Grzegórzki,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-przyjmie-do-pracy-CID4-IDCPSZA.html#7a30b0d009
Kucharz/ młodszy kucharz,Kraków", Nowa Huta,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-mlodszy-kucharz-CID4-IDAWirR.html#7a30b0d009
Kucharz-Polska Kuchnia,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 2 000 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-polska-kuchnia-CID4-IDz0koR.html#7a30b0d009
Kierownik zmiany. (restauracje sushi TAO),Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 3 400 zł do 6 000 zł /mies. brutto,https://www.olx.pl/oferta/kierownik-zmiany-restauracje-sushi-tao-CID4-IDCPojr.html#7a30b0d009;promoted
zatrudnię KUCHARZA/ kawiarnia Akwarium Lea,Kraków", Krowodrza,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-kucharza-kawiarnia-akwarium-lea-CID4-IDBqjIs.html#7a30b0d009
Asystent Ogólny- Zmywanie naczyń / Restauracja Samoobsługowa,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/asystent-ogolny-zmywanie-naczyn-restauracja-samoobslugowa-CID4-IDxGYlB.html#7a30b0d009
pomoc kucharza,Kraków", Podgórze,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kucharza-CID4-IDCP3Ns.html#7a30b0d009
Praca zmywak,Kraków", Łagiewniki-Borek Fałęcki,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-zmywak-CID4-IDCm9uD.html#7a30b0d009
Kucharz z pasją,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 4 000 zł do 6 000 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-z-pasja-CID4-IDCOwkv.html#7a30b0d009
Kucharz do Hotelu 3 *** w Krakowie,Kraków", Dębniki,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-do-hotelu-3-w-krakowie-CID4-IDCmF9E.html#7a30b0d009
Kuchnia to nasza pasja POSZUKIWANY SUSHI MASTER,Kraków", Podgórze,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kuchnia-to-nasza-pasja-poszukiwany-sushi-master-CID4-IDCOrNA.html#7a30b0d009
Restauracja włoska zatrudni pizzera z doświadczeniem,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-wloska-zatrudni-pizzera-z-doswiadczeniem-CID4-IDCOnYa.html#7a30b0d009
Kuchnia to nasza pasja POSZUKIWANY KUCHARZA,Kraków", Podgórze,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kuchnia-to-nasza-pasja-poszukiwany-kucharza-CID4-IDCM9r5.html#7a30b0d009
Kasjer-bufetowa,Kraków", Łagiewniki-Borek Fałęcki,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kasjer-bufetowa-CID4-IDCOhR5.html#7a30b0d009
Włoska restauracja zatrudni kelnerki", kelnerów.,Kraków", Bieżanów-Prokocim,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/wloska-restauracja-zatrudni-kelnerki-kelnerow-CID4-IDCOgWG.html#7a30b0d009
Bar Kraków Zabłocie,Kraków", Podgórze,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/bar-krakow-zablocie-CID4-IDwtNWP.html#7a30b0d009
Pomoc kucharza Kurdwanów,Kraków", Podgórze Duchackie,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kucharza-kurdwanow-CID4-IDCOdbd.html#7a30b0d009
Pizzer,Kraków", Łagiewniki-Borek Fałęcki,Niepełny etat,Umowa o pracę,od 16 zł do 19 zł /godz. brutto,https://www.olx.pl/oferta/pizzer-CID4-IDCNwjE.html#7a30b0d009
Pizzer / Pizzaiolo / Pizzamaker,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 4 800 zł do 7 000 zł /mies. brutto,https://www.olx.pl/oferta/pizzer-pizzaiolo-pizzamaker-CID4-IDCN708.html#7a30b0d009
Kelner Wysokie napiwki,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelner-wysokie-napiwki-CID4-IDCMdxc.html#7a30b0d009
Obsługa klienta lunch bar,Kraków", Prądnik Czerwony,Pełny etat,Umowa o pracę,2 600 zł /mies. brutto,https://www.olx.pl/oferta/obsluga-klienta-lunch-bar-CID4-IDCM9pg.html#7a30b0d009
Restauracja Pasjo zatrudni barmana/baristę,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-pasjo-zatrudni-barmana-bariste-CID4-IDAWZa5.html#7a30b0d009
Praca w kuchni,Kraków", Podgórze Duchackie,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-w-kuchni-CID4-IDzESEX.html#7a30b0d009
Pomocnik pizzera Weekendy,Kraków", Bieżanów-Prokocim,Dodatkowa / sezonowa,Umowa o pracę,od 15 zł do 20 zł /godz. brutto,https://www.olx.pl/oferta/pomocnik-pizzera-weekendy-CID4-IDzzy7f.html#7a30b0d009
Trattoria Cichy Kącik zatrudni Pizzera,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/trattoria-cichy-kacik-zatrudni-pizzera-CID4-IDCLDYl.html#7a30b0d009
McDonald's- Praca dla studentów 18-20 zł brutto,Kraków", Stare Miasto,Niepełny etat,Umowa o pracę,od 15 zł do 18 zł /godz. brutto,https://www.olx.pl/oferta/mcdonalds-praca-dla-studentow-18-20-zl-brutto-CID4-IDvGwvx.html#a4d179fa60;promoted
,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 20 zł do 24 zł /godz. brutto,
,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 4 500 zł do 7 000 zł /mies. brutto,
,Kraków", Podgórze Duchackie,Pełny etat,Umowa o pracę,14 zł /mies. brutto,
,Kraków", Grzegórzki,Pełny etat,Umowa o pracę,od 4 700 zł do 5 000 zł /mies. brutto,
Restauracja na krakowskim Kazimierzu zatrudni kelnerkę /kelnera!,Kraków", Grzegórzki,Pełny etat,Umowa o pracę,od 4 000 zł do 6 000 zł /mies. brutto,https://www.olx.pl/oferta/restauracja-na-krakowskim-kazimierzu-zatrudni-kelnerke-kelnera-CID4-IDCLCA3.html#a4d179fa60
Trattoria Cichy Kącik zatrudni Pizzera,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/trattoria-cichy-kacik-zatrudni-pizzera-CID4-IDvSWil.html#a4d179fa60
Stołówka zatrudni pomoc kuchenną PILNIE,Kraków", Krowodrza,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/stolowka-zatrudni-pomoc-kuchenna-pilnie-CID4-IDCLiME.html#a4d179fa60
Cukiernia zatrudni osobę do mycia", Pomoc cukiernika zmywak,Kraków", Bronowice,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/cukiernia-zatrudni-osobe-do-mycia-pomoc-cukiernika-zmywak-CID4-IDCL76p.html#a4d179fa60
Title,Location,Time of work,Type of agreement,Salary,Article url
,Kraków", Stare Miasto,Niepełny etat,Umowa zlecenie,,
,Poznań", Stare Miasto,Pełny etat,Umowa o pracę,,
,Poznań", Podolany,Pełny etat,Umowa o pracę,,
,Chorzów,Pełny etat,Umowa o pracę,od 18 zł do 20 zł /godz. brutto,
Pracownik restauracji KFC Wieszowa MOP,Zabrze,Niepełny etat,Umowa zlecenie,,https://www.olx.pl/oferta/pracownik-restauracji-kfc-wieszowa-mop-CID4-IDCTpZS.html#eaba6090d7;promoted
Praca dla KUCHARZA / Lublin Stare Miasto / Nowopowstająca restauracja,Lublin,Pełny etat,Umowa o pracę,od 3 000 zł do 3 800 zł /mies. brutto,https://www.olx.pl/oferta/praca-dla-kucharza-lublin-stare-miasto-nowopowstajaca-restauracja-CID4-IDD4o85.html#eaba6090d7
Klub B4 Bracka 4 zatrudni promotorów od zaraz,Kraków", Stare Miasto,Dodatkowa / sezonowa,Umowa zlecenie,od 14 zł do 15 zł /godz. brutto,https://www.olx.pl/oferta/klub-b4-bracka-4-zatrudni-promotorow-od-zaraz-CID4-IDBCMVc.html#eaba6090d7
,Wrocław", Stare Miasto,Pełny etat,Umowa o pracę,,
,Wrocław", Stare Miasto,Pełny etat,Umowa o pracę,,
,Wrocław", Stare Miasto,Pełny etat,Umowa o pracę,od 3 000 zł do 6 000 zł /mies. brutto,
Przyjmę kucharza zmianowego ", Pizzermana,Szczecin", Centrum,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/przyjme-kucharza-zmianowego-pizzermana-CID4-IDrHDMH.html#eaba6090d7
,Iława,Niepełny etat,Inny,,
Pracownik restauracji - młodociany,Zakopane,Dodatkowa / sezonowa,Umowa o pracę,od 900 zł do 1 100 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-restauracji-mlodociany-CID4-IDCZSS1.html#eaba6090d7
Kelner / Kelnerka dorywczo,Chrzanów,Dodatkowa / sezonowa,Inny,od 14 zł do 18 zł /godz. brutto,https://www.olx.pl/oferta/kelner-kelnerka-dorywczo-CID4-IDD4o9g.html#eaba6090d7
Pomoc kuchenna/ zmywak,Nowa Iwiczna,Niepełny etat,Umowa zlecenie,od 1 400 zł do 3 000 zł /mies. brutto,https://www.olx.pl/oferta/pomoc-kuchenna-zmywak-CID4-IDCVWdN.html#eaba6090d7
,Wrocław", Stare Miasto,Pełny etat,Umowa zlecenie,20 zł /godz. brutto,
Nowa Restauracja KFC w Grójcu zatrudni Pracowników - wkrótce otwarcie!,Grójec,Niepełny etat,Umowa zlecenie,,https://www.olx.pl/oferta/nowa-restauracja-kfc-w-grojcu-zatrudni-pracownikow-wkrotce-otwarcie-CID4-IDCZRPB.html#eaba6090d7;promoted
Pracownik restauracji KFC Baranów", stawka dla studentów od 17zł netto,Baranów,Niepełny etat,Umowa zlecenie,,https://www.olx.pl/oferta/pracownik-restauracji-kfc-baranow-stawka-dla-studentow-od-17zl-netto-CID4-IDCUMez.html#eaba6090d7;promoted
Kelner / Kelnerka/ Barman,Zakopane,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelner-kelnerka-barman-CID4-IDowBC8.html#eaba6090d7
Zatrudnię kucharza i pomoc kuchenną,Dzierżoniów,Pełny etat,Umowa o pracę,od 3 500 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/zatrudnie-kucharza-i-pomoc-kuchenna-CID4-IDD4nlH.html#eaba6090d7
,Poznań", Stare Miasto,Pełny etat,Umowa o pracę,od 3 000 zł do 3 200 zł /mies. brutto,
,Kąty Wrocławskie,Pełny etat,Umowa o pracę,,
Praca w Kebabie pełny/niepełny etat.,Borek Wielkopolski,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-w-kebabie-pelny-niepelny-etat-CID4-IDBFyFI.html#eaba6090d7
Pizzaiolo | Kucharz,Szczawno-Zdrój,Pełny etat,Umowa o pracę,3 850 zł /mies. brutto,https://www.olx.pl/oferta/pizzaiolo-kucharz-CID4-IDD4m7F.html#eaba6090d7
,Zakopane,Pełny etat,Umowa o pracę,,
,Bystra,Pełny etat,Umowa o pracę,od 3 900 zł do 4 500 zł /mies. brutto,
Studentki do pracy na kuchni w Klubokawiarni,Wrocław", Stare Miasto,Niepełny etat,Umowa zlecenie,,https://www.olx.pl/oferta/studentki-do-pracy-na-kuchni-w-klubokawiarni-CID4-IDuT1KN.html#eaba6090d7
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,
Kelner/Kelnerka,Racibórz,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelner-kelnerka-CID4-IDxSqUp.html#eaba6090d7
Sushi master / kucharz sushi (Bemowo),Warszawa", Bemowo,Pełny etat,Umowa zlecenie,od 3 000 zł do 4 000 zł /mies. brutto,https://www.olx.pl/oferta/sushi-master-kucharz-sushi-bemowo-CID4-IDydRk4.html#eaba6090d7
,Lubin,Pełny etat,Umowa o pracę,,
Pracownik restauracji,Nowy Dwór Mazowiecki,Pełny etat,Umowa o pracę,od 2 800 zł do 3 400 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-restauracji-CID4-IDD4lEr.html#eaba6090d7
,Sopot", Centrum,Pełny etat,Umowa o pracę,,
Lodziarnia", praca w budce z lodami", sprzedaż lodów,Sochaczew,Pełny etat,Umowa zlecenie,,https://www.olx.pl/oferta/lodziarnia-praca-w-budce-z-lodami-sprzedaz-lodow-CID4-IDCdUer.html#eaba6090d7
Praca kucharz Białka Tatrzańska,Białka Tatrzańska,Pełny etat,Umowa o pracę,od 18 zł do 20 zł /godz. brutto,https://www.olx.pl/oferta/praca-kucharz-bialka-tatrzanska-CID4-IDD4lcf.html#eaba6090d7
,Wrocław", Fabryczna,Pełny etat,Umowa zlecenie,od 2 200 zł do 2 600 zł /mies. brutto,
Pomoc kuchenna,Częstochowa", Raków,Dodatkowa / sezonowa,Umowa zlecenie,od 12 zł do 13 zł /godz. brutto,https://www.olx.pl/oferta/pomoc-kuchenna-CID4-IDD4kZG.html#eaba6090d7
,Warszawa", Śródmieście,Pełny etat,Inny,od 17 zł do 22 zł /mies. brutto,
Kelnerka/zmywająca/sprzątająca na Sylwestra,Warszawa", Praga-Południe,Dodatkowa / sezonowa,Inny,,https://www.olx.pl/oferta/kelnerka-zmywajaca-sprzatajaca-na-sylwestra-CID4-IDCMmsE.html#eaba6090d7;promoted
Kelner/ Kelnerka / Barman / Barmanka w X-Demon VIP Lounge & Restaurant,Wrocław", Stare Miasto,Niepełny etat,Umowa zlecenie,15 zł /godz. brutto,https://www.olx.pl/oferta/kelner-kelnerka-barman-barmanka-w-x-demon-vip-lounge-restaurant-CID4-IDD4iLp.html#eaba6090d7
Barman/ka kelner/ka,Tychy,Pełny etat,Inny,,https://www.olx.pl/oferta/barman-ka-kelner-ka-CID4-IDD4jmp.html#eaba6090d7
Kierownik Zmiany -Menadżer restauracji McDonald's,Józefów", Świdry Małe,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kierownik-zmiany-menadzer-restauracji-mcdonalds-CID4-IDCwoxQ.html#eaba6090d7
Zatrudnię Panią do garmażerki,Szczecin", Zdroje,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-pania-do-garmazerki-CID4-IDBGpzq.html#eaba6090d7
,Warszawa", Wola,Pełny etat,Umowa o pracę,,
,Kraków", Bronowice,Pełny etat,Umowa o pracę,,
,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 20 zł do 24 zł /godz. brutto,
,Kraków", Krowodrza,Pełny etat,Umowa o pracę,od 3 000 zł do 4 000 zł /mies. brutto,
,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,
Kierownik zmiany. (restauracje sushi TAO),Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 3 400 zł do 6 000 zł /mies. brutto,https://www.olx.pl/oferta/kierownik-zmiany-restauracje-sushi-tao-CID4-IDCPojr.html#6783feaffa;promoted
Cukiernik poszukiwany do rodzinnej cukierni,Kraków", Podgórze,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/cukiernik-poszukiwany-do-rodzinnej-cukierni-CID4-IDCrGzq.html#6783feaffa
,Kraków", Podgórze,Pełny etat,Umowa o pracę,od 21 zł do 23 zł /godz. brutto,
,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,
,Kraków", Bieżanów-Prokocim,Pełny etat,Umowa o pracę,,
Kelner/ka Restauracji Pizza Hut,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 17 zł do 18 zł /godz. brutto,https://www.olx.pl/oferta/kelner-ka-restauracji-pizza-hut-CID4-IDD3EHM.html#6783feaffa
Restauracja Fiorentina zatrudni kucharza.,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-fiorentina-zatrudni-kucharza-CID4-IDD3zsB.html#6783feaffa
,Kraków", Krowodrza,Pełny etat,Umowa o pracę,,
Restauracja zatrudni osobę na produkcję,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-zatrudni-osobe-na-produkcje-CID4-IDD3sVv.html#6783feaffa;promoted
Praca w kuchni,Kraków", Podgórze Duchackie,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-w-kuchni-CID4-IDD3qiv.html#6783feaffa
,Kraków", Podgórze,Pełny etat,Umowa o pracę,od 16 zł do 19 zł /godz. brutto,
,Kraków", Podgórze,Pełny etat,Umowa o pracę,od 16 zł do 19 zł /godz. brutto,
Kelnerzy do restauracji MANDU(KOREAN FOOD),Kraków", Stare Miasto,Pełny etat,Umowa o pracę,od 14 zł do 16 zł /godz. brutto,https://www.olx.pl/oferta/kelnerzy-do-restauracji-mandukorean-food-CID4-IDD3ljR.html#6783feaffa
Lokal gastronomiczny,Kraków", Nowa Huta,Pełny etat,Umowa o pracę,od 12 zł do 14 zł /mies. brutto,https://www.olx.pl/oferta/lokal-gastronomiczny-CID4-IDBjpIp.html#6783feaffa
Zatrudnimy Szefa kuchni,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnimy-szefa-kuchni-CID4-IDD3hxm.html#6783feaffa
Pizzer /Kucharz,Kraków", Czyżyny,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pizzer-kucharz-CID4-IDANGyK.html#6783feaffa;promoted
