Title,Location,Time of work,Type of agreement,Salary,Article url
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 14 zł do 25 zł /mies. brutto,
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 15 zł do 25 zł /godz. brutto,
SAM Żoliborz zatrudni osobę zmywającą / pomoc kuchenną,Warszawa", Żoliborz,Pełny etat,Umowa o pracę,od 3 500 zł do 4 200 zł /mies. brutto,https://www.olx.pl/oferta/sam-zoliborz-zatrudni-osobe-zmywajaca-pomoc-kuchenna-CID4-IDBMier.html#fdf91ad939
kelnerów/kelnerki,Warszawa", Praga-Północ,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelnerow-kelnerki-CID4-IDl7ZuO.html#fdf91ad939
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,
,Warszawa", Bielany,Pełny etat,Umowa o pracę,,
,Warszawa", Bielany,Pełny etat,Umowa o pracę,,
Pracownik restauracji,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-CID4-IDCZCWY.html#fdf91ad939
Kucharz Kuchni Polskiej,Warszawa", Białołęka,Pełny etat,Umowa o pracę,od 4 000 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-kuchni-polskiej-CID4-IDCZCME.html#fdf91ad939
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,
,Warszawa", Bielany,Pełny etat,Umowa o pracę,,
Praca dla Kucharza- Warszawa - Praga Południe,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-dla-kucharza-warszawa-praga-poludnie-CID4-IDCZCtq.html#fdf91ad939
,Warszawa", Wilanów,Pełny etat,Umowa o pracę,od 3 400 zł do 3 500 zł /mies. brutto,
Kucharka / kucharz do nowego burger baru Warszawa Grochów,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharka-kucharz-do-nowego-burger-baru-warszawa-grochow-CID4-IDBLKjk.html#fdf91ad939
Restauracja w centrum zatrudni Panią zmywajacą,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 2 500 zł do 3 000 zł /mies. brutto,https://www.olx.pl/oferta/restauracja-w-centrum-zatrudni-pania-zmywajaca-CID4-IDAq0lh.html#fdf91ad939
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,17 zł /godz. brutto,
Pracownik restauracji,Warszawa", Śródmieście,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-CID4-IDCZvAp.html#fdf91ad939
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 3 000 zł do 5 000 zł /mies. brutto,
,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,od 3 000 zł do 4 500 zł /mies. brutto,
,Warszawa", Ochota,Pełny etat,Umowa o pracę,,
